st,Configure,1518088321,591060
et,Configure,1518088321,599057
et,Configure,1518088321,601698
st,Start,1518088323,602245
et,Start,1518088323,608330
et,Start,1518088323,609090
st,Pause,1518088325,609262
et,Pause,1518088325,609866
et,Pause,1518088325,620183
st,Resume,1518088327,620305
et,Resume,1518088327,629879
et,Resume,1518088327,639952
st,Stop,1518088328,640140
et,Stop,1518088328,734895
et,Stop,1518088328,750187
st,Unconfigure,1518088330,750357
et,Unconfigure,1518088330,758761
et,Unconfigure,1518088330,763353
st,Configure,1518088333,766567
et,Configure,1518088333,771068
et,Configure,1518088333,774913
st,Start,1518088335,775063
et,Start,1518088335,779320
et,Start,1518088335,783345
st,Pause,1518088337,783589
et,Pause,1518088337,784090
et,Pause,1518088337,794320
st,Resume,1518088339,794466
et,Resume,1518088339,795254
et,Resume,1518088339,805396
st,Stop,1518088340,805542
et,Stop,1518088340,909088
et,Stop,1518088340,924455
st,Unconfigure,1518088342,924676
et,Unconfigure,1518088342,933637
et,Unconfigure,1518088342,938313
st,Configure,1518088345,941319
et,Configure,1518088345,948981
et,Configure,1518088345,953050
st,Start,1518088347,953219
et,Start,1518088347,958712
et,Start,1518088347,962753
st,Pause,1518088349,963045
et,Pause,1518088349,963734
et,Pause,1518088349,973991
st,Resume,1518088351,974176
et,Resume,1518088351,984088
et,Resume,1518088351,994232
st,Stop,1518088352,994365
et,Stop,1518088353,88620
et,Stop,1518088353,104001
st,Unconfigure,1518088355,104188
et,Unconfigure,1518088355,112891
et,Unconfigure,1518088355,117312
st,Configure,1518088358,120277
et,Configure,1518088358,126663
et,Configure,1518088358,130338
st,Start,1518088360,130478
et,Start,1518088360,135538
et,Start,1518088360,139185
st,Pause,1518088362,139305
et,Pause,1518088362,140028
et,Pause,1518088362,150290
st,Resume,1518088364,150498
et,Resume,1518088364,159968
et,Resume,1518088364,170121
st,Stop,1518088365,170289
et,Stop,1518088365,264900
et,Stop,1518088365,280345
st,Unconfigure,1518088367,280561
et,Unconfigure,1518088367,289684
et,Unconfigure,1518088367,294455
st,Configure,1518088370,297287
et,Configure,1518088370,303636
et,Configure,1518088370,307998
st,Start,1518088372,308200
et,Start,1518088372,314883
et,Start,1518088372,317811
st,Pause,1518088374,317991
et,Pause,1518088374,319079
et,Pause,1518088374,329290
st,Resume,1518088376,329432
et,Resume,1518088376,338705
et,Resume,1518088376,348819
st,Stop,1518088377,349013
et,Stop,1518088377,444196
et,Stop,1518088377,459540
st,Unconfigure,1518088379,459717
et,Unconfigure,1518088379,468780
et,Unconfigure,1518088379,474612
st,Configure,1518088382,477574
et,Configure,1518088382,483790
et,Configure,1518088382,492640
st,Start,1518088384,492760
et,Start,1518088384,502111
et,Start,1518088384,512440
st,Pause,1518088386,512577
et,Pause,1518088386,513067
et,Pause,1518088386,523229
st,Resume,1518088388,523444
et,Resume,1518088388,523879
et,Resume,1518088388,534024
st,Stop,1518088389,534227
et,Stop,1518088389,638029
et,Stop,1518088389,653314
st,Unconfigure,1518088391,653524
et,Unconfigure,1518088391,661510
et,Unconfigure,1518088391,666301
st,Configure,1518088394,668441
et,Configure,1518088394,674380
et,Configure,1518088394,678659
st,Start,1518088396,678875
et,Start,1518088396,683945
et,Start,1518088396,687403
st,Pause,1518088398,687540
et,Pause,1518088398,688360
et,Pause,1518088398,698681
st,Resume,1518088400,698850
et,Resume,1518088400,699336
et,Resume,1518088400,709477
st,Stop,1518088401,709706
et,Stop,1518088401,813304
et,Stop,1518088401,828578
st,Unconfigure,1518088403,828746
et,Unconfigure,1518088403,837384
et,Unconfigure,1518088403,842350
st,Configure,1518088406,844098
et,Configure,1518088406,849928
et,Configure,1518088406,854341
st,Start,1518088408,854583
et,Start,1518088408,858762
et,Start,1518088408,863275
st,Pause,1518088410,863444
et,Pause,1518088410,864098
et,Pause,1518088410,874402
st,Resume,1518088412,874557
et,Resume,1518088412,876188
et,Resume,1518088412,886264
st,Stop,1518088413,886450
et,Stop,1518088413,989067
et,Stop,1518088414,4348
st,Unconfigure,1518088416,4513
et,Unconfigure,1518088416,12844
et,Unconfigure,1518088416,17462
st,Configure,1518088419,20397
et,Configure,1518088419,25672
et,Configure,1518088419,31505
st,Start,1518088421,31695
et,Start,1518088421,34209
et,Start,1518088421,40055
st,Pause,1518088423,40205
et,Pause,1518088423,40945
et,Pause,1518088423,46709
st,Resume,1518088425,47244
et,Resume,1518088425,55479
et,Resume,1518088425,59747
st,Stop,1518088426,59928
et,Stop,1518088426,165778
et,Stop,1518088426,181201
st,Unconfigure,1518088428,181407
et,Unconfigure,1518088428,189083
et,Unconfigure,1518088428,193881
st,Configure,1518088431,196020
et,Configure,1518088431,201791
et,Configure,1518088431,206217
st,Start,1518088433,206371
et,Start,1518088433,210766
et,Start,1518088433,214955
st,Pause,1518088435,215174
et,Pause,1518088435,215598
et,Pause,1518088435,225816
st,Resume,1518088437,225938
et,Resume,1518088437,234744
et,Resume,1518088437,244859
st,Stop,1518088438,245067
et,Stop,1518088438,340563
et,Stop,1518088438,355768
st,Unconfigure,1518088440,355982
et,Unconfigure,1518088440,364382
et,Unconfigure,1518088440,368712
st,Configure,1518088443,371450
et,Configure,1518088443,377673
et,Configure,1518088443,380929
st,Start,1518088445,381178
et,Start,1518088445,386020
et,Start,1518088445,389120
st,Pause,1518088447,389337
et,Pause,1518088447,390095
et,Pause,1518088447,400357
st,Resume,1518088449,400521
et,Resume,1518088449,409797
et,Resume,1518088449,419928
st,Stop,1518088450,420052
et,Stop,1518088450,515039
et,Stop,1518088450,530378
st,Unconfigure,1518088452,530509
et,Unconfigure,1518088452,538556
et,Unconfigure,1518088452,543320
st,Configure,1518088455,545469
et,Configure,1518088455,551435
et,Configure,1518088455,555689
st,Start,1518088457,555843
et,Start,1518088457,559832
et,Start,1518088457,564567
st,Pause,1518088459,564782
et,Pause,1518088459,565389
et,Pause,1518088459,575771
st,Resume,1518088461,575992
et,Resume,1518088461,584104
et,Resume,1518088461,593744
st,Stop,1518088462,593903
et,Stop,1518088462,690319
et,Stop,1518088462,705736
st,Unconfigure,1518088464,705964
et,Unconfigure,1518088464,715618
et,Unconfigure,1518088464,719010
st,Configure,1518088467,721280
et,Configure,1518088467,728318
et,Configure,1518088467,731471
st,Start,1518088469,731710
et,Start,1518088469,737143
et,Start,1518088469,739905
st,Pause,1518088471,740048
et,Pause,1518088471,740913
et,Pause,1518088471,751123
st,Resume,1518088473,751285
et,Resume,1518088473,759495
et,Resume,1518088473,769451
st,Stop,1518088474,769652
et,Stop,1518088474,865773
et,Stop,1518088474,881108
st,Unconfigure,1518088476,881310
et,Unconfigure,1518088476,889613
et,Unconfigure,1518088476,894043
st,Configure,1518088479,896474
et,Configure,1518088479,902513
et,Configure,1518088479,907219
st,Start,1518088481,907373
et,Start,1518088481,910793
et,Start,1518088481,915672
st,Pause,1518088483,915793
et,Pause,1518088483,916450
et,Pause,1518088483,926670
st,Resume,1518088485,926878
et,Resume,1518088485,928510
et,Resume,1518088485,938670
st,Stop,1518088486,938905
et,Stop,1518088487,41381
et,Stop,1518088487,56722
st,Unconfigure,1518088489,56896
et,Unconfigure,1518088489,65625
