st,Configure,1516116296,374470
et,Configure,1516116296,381124
et,Configure,1516116296,381367
et,Configure,1516116296,381628
et,Configure,1516116296,381855
et,Configure,1516116296,382079
st,Configure,1516116331,253986
st,Start,1516116334,453705
st,Start,1516116335,342051
et,Start,1516116335,351625
et,Start,1516116335,352738
et,Start,1516116335,353179
et,Start,1516116335,353347
et,Start,1516116335,355839
st,Pause,1516116342,173744
et,Pause,1516116342,180541
et,Pause,1516116342,232668
et,Pause,1516116342,233564
et,Pause,1516116342,233893
et,Pause,1516116343,751869
st,Resume,1516116347,742447
et,Resume,1516116347,743272
et,Resume,1516116347,744187
et,Resume,1516116347,753728
et,Resume,1516116347,753958
et,Resume,1516116347,754688
st,Stop,1516116354,894462
et,Stop,1516116354,910655
et,Stop,1516116354,929121
et,Stop,1516116354,982597
et,Stop,1516116354,983383
et,Stop,1516116354,983609
st,Unconfigure,1516116361,366177
et,Unconfigure,1516116361,367051
et,Unconfigure,1516116361,377420
et,Unconfigure,1516116361,377580
et,Unconfigure,1516116361,377717
et,Unconfigure,1516116361,378022
